Keithley_v,Keithley_a,b2901a_v,b2901a_a
16.25,2.743031e-10,-4.0,-1.7267e-08
16.25,2.503209e-10,-3.0,1.7597e-08
16.25,2.361246e-10,-2.0,2.607e-09
16.25,2.189871e-10,-1.0,-1.9621e-08
16.25,2.091509e-10,0.0,1.5052e-08
16.25,2.076298e-10,1.0,7.967e-09
16.25,2.100129e-10,2.0,-1.9505e-08
16.25,1.772593e-10,3.0,9.969e-09
16.25,1.850166e-10,4.0,1.2374e-08
16.25,1.853209e-10,5.0,-1.959e-08
16.25,1.840028e-10,6.0,8.849e-09
16.25,2.610699e-10,7.0,1.356e-08
16.25,2.997554e-10,8.0,-1.7961e-08
16.25,2.021032e-10,9.0,3.122e-09
16.25,1.918107e-10,10.0,1.7382e-08
16.25,1.501842e-10,11.0,-1.7919e-08
16.25,1.211826e-10,12.0,-2.3e-09
16.25,1.892247e-10,13.0,1.9586e-08
16.25,2.017992e-10,14.0,-1.4577e-08
16.25,1.405509e-10,15.0,-6.024e-09
16.25,9.527397e-11,16.0,1.9588e-08
16.25,1.117016e-10,17.0,-9.98e-09
16.25,1.013581e-10,18.0,-1.0728e-08
16.25,1.084564e-10,19.0,1.9374e-08
16.25,1.198137e-10,20.0,-6.825e-09
16.25,1.100282e-10,21.0,-1.452e-08
16.25,1.018651e-10,22.0,1.9761e-08
16.25,1.133745e-10,23.0,-4.249e-09
16.25,9.689645e-11,24.0,-1.7946e-08
16.25,9.349943e-11,25.0,1.632e-08
16.25,9.628791e-11,26.0,1.477e-09
16.25,7.986051e-11,27.0,-1.8905e-08
16.25,1.851096e-11,28.0,1.2263e-08
16.25,7.413108e-11,29.0,7.564e-09
16.25,9.892452e-11,30.0,-1.9193e-08
16.25,1.367482e-10,31.0,1.3656e-08
16.25,1.413621e-10,32.0,8.845e-09
16.25,1.415649e-10,33.0,-1.9291e-08
16.25,8.001269e-11,34.0,1.002e-08
16.25,1.99771e-10,35.0,1.3331e-08
16.25,1.216897e-10,36.0,-1.8513e-08
16.25,5.658826e-11,37.0,3.92e-09
16.25,4.512958e-11,38.0,1.5283e-08
16.25,8.822644e-11,39.0,-1.8147e-08
16.25,6.028938e-11,40.0,3.775e-09
