Keithley_v,Keithley_a,b2901a_v,b2901a_a
-2.0,-3.49812e-11,16.25,6.747e-09
-1.0,3.453027e-11,16.25,-1.0952e-08
0.0,1.913492e-10,16.25,1.969e-09
1.0,2.247109e-10,16.25,-8.146e-09
2.0,3.373689e-10,16.25,9.524e-09
3.0,3.639873e-10,16.25,-1.8866e-08
4.0,4.329917e-10,16.25,1.8194e-08
5.0,5.061028e-10,16.25,1.9201e-08
6.0,5.804818e-10,16.25,-1.9243e-08
7.0,5.542691e-10,16.25,-1.5858e-08
8.0,5.996469e-10,16.25,8.35e-09
9.0,7.185917e-10,16.25,3.266e-09
10.0,7.144342e-10,16.25,1.7879e-08
11.0,7.810048e-10,16.25,-1.8251e-08
12.0,7.411544e-10,16.25,-7.89e-10
13.0,8.035167e-10,16.25,-1.8562e-08
14.0,7.99714e-10,16.25,-7.124e-09
15.0,8.525953e-10,16.25,-1.4847e-08
16.0,8.742453e-10,16.25,1.836e-08
17.0,9.564317e-10,16.25,6.63e-10
18.0,9.682957e-10,16.25,1.9018e-08
19.0,9.991221e-10,16.25,1.045e-09
20.0,9.741263e-10,16.25,1.9043e-08
21.0,1.049012e-09,16.25,-1.817e-08
22.0,1.003786e-09,16.25,5.034e-09
23.0,1.064627e-09,16.25,-1.8629e-08
24.0,1.057124e-09,16.25,1.6325e-08
25.0,1.143468e-09,16.25,-2.61e-09
26.0,1.111375e-09,16.25,-1.5183e-08
27.0,1.134139e-09,16.25,1.921e-08
28.0,1.200609e-09,16.25,-4.843e-09
29.0,1.175208e-09,16.25,-1.5391e-08
30.0,1.176577e-09,16.25,-7.005e-09
31.0,1.198785e-09,16.25,-7.407e-09
32.0,1.262768e-09,16.25,-1.9272e-08
33.0,1.252881e-09,16.25,-1.2574e-08
34.0,1.25714e-09,16.25,1.0975e-08
35.0,1.325435e-09,16.25,1.9234e-08
36.0,1.354943e-09,16.25,-1.0621e-08
37.0,1.322342e-09,16.25,-6.773e-09
38.0,1.36194e-09,16.25,1.7647e-08
39.0,1.388659e-09,16.25,1.6663e-08
40.0,1.426228e-09,16.25,2.773e-09
