Keithley_v,Keithley_a,b2901a_v,b2901a_a
5.0,-2.063085e-11,14.705882352941169,2.1222e-08
5.0,-1.520573e-11,15.294117647058815,-3.485e-09
5.0,-5.946879e-11,15.882352941176462,-1.2008e-08
5.0,-5.069733e-11,16.47058823529411,2.4828e-08
5.0,-2.438279e-11,17.058823529411757,-2.0444e-08
5.0,-6.311937e-11,17.647058823529406,1.255e-08
5.0,-7.087681e-11,18.235294117647054,8.818e-09
5.0,-6.910221e-11,18.823529411764703,-2.2461e-08
5.0,-1.961681e-11,19.41176470588235,2.3387e-08
10.0,1.469661e-09,-9.411764705882353,-6.198e-09
10.0,7.016737e-10,-8.823529411764707,1.8294e-08
10.0,4.990169e-10,-8.23529411764706,-2.4613e-08
10.0,3.393558e-10,-7.647058823529413,1.5916e-08
10.0,2.839377e-10,-7.058823529411766,3.552e-09
10.0,2.250218e-10,-6.4705882352941195,-1.8298e-08
10.0,1.606805e-10,-5.882352941176473,2.4412e-08
10.0,1.338083e-10,-5.294117647058826,-1.9246e-08
10.0,1.183441e-10,-4.705882352941179,5.62e-10
10.0,1.052628e-10,-4.1176470588235325,1.8275e-08
10.0,7.463878e-11,-3.5294117647058854,-2.4479e-08
10.0,9.071127e-11,-2.941176470588238,6.663e-09
10.0,9.299295e-11,-2.352941176470591,1.4291e-08
10.0,1.140344e-10,-1.7647058823529438,-2.482e-08
10.0,1.052629e-10,-1.1764705882352966,2.1016e-08
10.0,1.038432e-10,-0.5882352941176495,-6.156e-09
10.0,1.106374e-10,-2.4424906541753444e-15,-1.5269e-08
10.0,-9.983368e-12,0.5882352941176446,2.4615e-08
10.0,9.071138e-11,1.1764705882352917,-2.0836e-08
10.0,-3.969621e-10,1.764705882352939,8.09e-09
10.0,-2.152327e-10,2.352941176470586,1.2167e-08
10.0,1.880968e-12,2.9411764705882333,-2.4716e-08
10.0,-9.019437e-11,3.5294117647058805,1.3722e-08
10.0,-6.641505e-11,4.117647058823527,5.764e-09
10.0,-1.266499e-10,4.705882352941174,-2.4332e-08
10.0,4.837508e-11,5.294117647058821,1.1887e-08
10.0,1.403491e-10,5.8823529411764675,9.948e-09
10.0,2.341481e-10,6.470588235294114,-2.2952e-08
10.0,2.354157e-10,7.058823529411761,2.3882e-08
10.0,1.641788e-10,7.647058823529408,-1.0645e-08
10.0,7.874568e-11,8.235294117647054,-1.2136e-08
10.0,4.913546e-11,8.823529411764701,2.4952e-08
10.0,3.524303e-11,9.411764705882348,-1.9198e-08
10.0,5.314091e-11,9.999999999999995,-1.539e-09
10.0,5.009884e-11,10.588235294117641,2.314e-08
